Both Sensors Readings
Current Time,Temperature (C),Gas (ohm),Humidity (%),Pressure (hPa),Altitude (m),PM1.0 (standard),PM2.5 (standard),PM10 (standard),PM1.0 (env),PM2.5 (env),PM10 (env),Particles >0.3um,Particles >0.5um,Particles >1.0um,Particles >2.5um,Particles >5.0um,Particles >10um
2025-02-28 16:13:46,22.021015625,147091,43.25075620954235,999.3262800741203,116.57480928650276,15,20,22,15,20,22,2586,721,110,10,1,1
2025-02-28 16:13:47,21.9926953125,146834,43.301539262583454,999.324646824693,116.58856041822949,15,20,22,15,20,22,2586,721,110,10,1,1
2025-02-28 16:13:48,21.978046875,147608,43.34786656086946,999.3307727068864,116.53698369132537,15,20,21,15,20,21,2622,721,106,8,2,1
2025-02-28 16:13:49,21.965546875,147478,43.388447651325706,999.3250086359873,116.5855141490896,15,20,21,15,20,21,2622,721,106,8,2,1
2025-02-28 16:13:50,21.9360546875,147220,43.42713557748319,999.321370123998,116.61614863088732,15,20,21,15,20,21,2622,721,106,8,2,1
2025-02-28 16:13:50,21.9196484375,147608,43.48529668043748,999.3296778854486,116.54620149692589,15,20,21,15,20,21,2652,737,104,5,2,1
2025-02-28 16:13:51,21.905390625,148128,43.53171148200247,999.3260969844134,116.57635080805548,15,20,21,15,20,21,2652,737,104,5,2,1
2025-02-28 16:13:52,21.8801953125,147478,43.58291458146097,999.3211400867324,116.61808543458608,15,20,21,15,20,21,2652,737,104,5,2,1
2025-02-28 16:13:53,21.8688671875,147737,43.62968150740636,999.3225537547895,116.60618303173614,15,19,21,15,19,21,2616,734,98,5,2,1
2025-02-28 16:13:54,21.8583203125,147997,43.68255524379049,999.3201159123129,116.62670849747957,15,19,21,15,19,21,2616,734,98,5,2,1
2025-02-28 16:13:55,21.835078125,147867,43.709982334774075,999.320213295953,116.62588857310895,15,19,21,15,19,21,2616,734,98,5,2,1
2025-02-28 16:13:56,21.82296875,148128,43.75068294264736,999.3237475031016,116.59613225762993,15,19,21,15,19,21,2547,717,96,8,3,1
2025-02-28 16:13:57,21.811640625,148258,43.785469356597524,999.3251581383316,116.58425541479313,15,19,21,15,19,21,2547,717,96,8,3,1
2025-02-28 16:13:57,21.788203125,148652,43.83693496915177,999.3318277976604,116.52810040419861,15,19,21,15,19,21,2547,717,96,8,3,1
2025-02-28 16:13:58,21.777265625,148520,43.88380817421289,999.3356303390225,116.49608514914281,14,18,20,14,18,20,2472,686,92,8,3,1
2025-02-28 16:13:59,21.768671875,148520,43.942989119094314,999.3347923073994,116.50314089459695,14,18,20,14,18,20,2472,686,92,8,3,1
2025-02-28 16:14:00,21.7471875,147737,43.98268154819894,999.3413333482323,116.44806921085971,14,18,20,14,18,20,2472,686,92,8,3,1
2025-02-28 16:14:01,21.7380078125,148389,44.02377094990306,999.3412221201277,116.44900568308293,14,17,21,14,17,21,2460,688,90,11,4,1
2025-02-28 16:14:02,21.7284375,148389,44.07686588630928,999.3387167528426,116.47009935687733,14,17,21,14,17,21,2460,688,90,11,4,1
2025-02-28 16:14:03,21.706953125,147997,44.116584707637514,999.3383439095991,116.473238474637,14,17,21,14,17,21,2460,688,90,11,4,1
2025-02-28 16:14:03,21.6981640625,148783,44.12763451748292,999.3406248094986,116.45403467260586,14,17,20,14,17,20,2448,672,90,11,3,0
2025-02-28 16:14:04,21.6909375,148915,44.16295297942674,999.3455707428058,116.4123930179078,14,17,20,14,17,20,2448,672,90,11,3,0
